호선명,역명,4시승차,4시하차,5시승차,5시하차,6시승차,6시하차,7시승차,7시하차,8시승차,8시하차,9시승차,9시하차,10시승차,10시하차,11시승차,11시하차,12시승차,12시하차,13시승차,13시하차,14시승차,14시하차,15시승차,15시하차,16시승차,16시하차,17시승차,17시하차,18시승차,18시하차,19시승차,19시하차,20시승차,20시하차,21시승차,21시하차,22시승차,22시하차,23시승차,23시하차,0시승차,0시하차,1시승차,1시하차,2시승차,2시하차,3시승차,3시하차
4호선,회현(남대문시장),59,1,2448,1130,4097,27904,6728,63950,10943,183201,16288,118046,24603,94233,36925,97567,48706,75802,63208,67759,73977,63375,81886,53538,95187,41037,137707,32851,147490,26604,67831,16220,67314,9485,30034,10476,18730,9233,7202,5985,1007,1952,0,141,0,0,0,0
4호선,서울역,207,5,5200,920,6990,15712,13600,41783,20272,117922,15861,60249,14943,32126,17565,32233,18029,34068,19037,35168,17376,34585,20198,38878,23774,41509,42100,45332,89142,46939,31819,37266,20559,28240,18574,26263,14722,23121,6739,14087,796,5031,0,528,0,0,0,0
4호선,숙대입구(갈월),4,0,3559,776,8773,8634,20121,25474,32433,67380,22956,37451,19223,20204,20846,20393,23875,20595,24302,23463,24465,21559,26643,21668,32239,24393,40099,29114,65398,41011,31590,30754,25113,18904,23850,19006,19312,18043,9962,11743,1643,3204,0,0,0,0,0,0
4호선,삼각지,16,9,750,711,1975,5578,6347,11755,9073,31685,6355,13321,4515,8695,5223,8474,6230,8594,7322,8336,7133,7378,7270,7499,8343,7707,13344,10017,29859,14186,11475,9902,8288,6408,8186,5777,6379,5503,2986,3842,331,1440,0,22,0,0,0,0
4호선,신용산,9,0,1572,1605,4929,15362,12322,35557,19283,115936,15084,65262,13139,28722,16692,25276,18343,23090,21961,25966,22135,24488,27981,24824,34375,25008,54869,28362,107243,36846,50614,25454,35702,14852,31824,12120,23287,10251,10748,5419,1636,1661,1,1,0,0,0,0
4호선,이촌(국립중앙박물관),121,22,1377,960,5340,8262,15886,16675,22871,31491,15445,25850,10661,19620,13738,16506,17317,18362,17067,21654,17041,18534,20262,17890,27904,16699,29952,18560,31506,26281,14280,19677,10406,12085,10403,10821,6122,10780,2283,6070,339,2115,0,0,0,0,0,0
4호선,동작(현충원),20,1,704,291,1908,2504,5548,4102,7669,7454,5095,4910,3619,3489,4138,3081,3789,3363,3572,3768,3543,3794,4152,4160,4930,4525,5753,5599,8145,8377,4060,6646,3598,4941,3647,3819,2895,3395,1139,2158,187,1042,1,122,0,0,0,0
4호선,총신대입구(이수),111,2,7978,1174,20071,11191,55587,20400,74084,49760,44371,41192,32176,29889,33556,28527,34431,31737,36306,35983,33880,35826,35061,40447,36208,46918,40531,60696,53476,94037,32571,71739,29723,38552,29436,36794,24607,32732,12955,19287,1945,5653,4,175,0,0,0,0
4호선,사당,84,3,11965,1308,29180,18366,82165,27526,107626,42410,76006,33399,50385,26702,42313,33651,44388,34437,46833,33396,44430,30955,40901,34744,41326,45740,51201,65319,57968,107399,40349,80695,35776,44052,41253,41315,39761,38789,20954,25932,2889,9345,5,992,0,0,0,0
4호선,남태령,21,0,489,119,1175,1663,3661,4376,5454,5906,3902,2249,2626,1353,2570,1165,2476,1339,2445,1420,2179,1431,2386,1576,3248,1689,4440,1776,4696,2538,1921,2357,1165,1598,821,1399,447,1274,183,717,32,316,0,9,1,0,0,0
